"no_dokumen","judul_kerma","jenis_dokumen_kerjasama","dasar_dokumen_kerjasama","deskripsi","status_kerma","tanggal_awal","tanggal_akhir","anggaran","sumber_pendanaan","dibuat","diubah"
"2905/E3/PKS.08/KL/2021","Peningkatan Kapasitas dan Jejaring Mahasiswa Siap Kerja","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Peningkatan Kapasitas dan Jejaring Mahasiswa Siap Kerja","Aktif","04-08-2021","02-12-2021","1","Dikti","28 February 2022 12:39","28 February 2022 12:39"
"052.SPKPJ/DAN.01.02/UPTMADN/AI/2021","Surat Perintah Pengadaan Jasa ","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Surat Perintah Pengadaan Jasa ""Jasa Enjiniring dan Studi Sistem di Unit Induk Tranmisi Jawa Bagian Timur dan Bali (Jasa Enjiniring dan Studi Sistem Sutt 50KV Lamongan-Paciran T.82)","Aktif","02-06-2021","11-07-2021","","Lainnya","28 February 2022 12:38","28 February 2022 12:38"
"074/2092/411/2021","Penelitian dan Pengembangan Badan Usaha Milik Daerah (Kajian Pendirian Holding dan Perusahaan Daerah Baru (PD. Pasar Jember, PD. Investasi dan SDA, PD. Pariwisata, PDP. PDAM))","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penelitian dan Pengembangan Badan Usaha Milik Daerah (Kajian Pendirian Holding dan Perusahaan Daerah Baru (PD. Pasar Jember, PD. Investasi dan SDA, PD. Pariwisata, PDP. PDAM))","Aktif","07-09-2021","06-12-2021","","Dinas Kabupaten","27 February 2022 12:33","28 February 2022 12:33"
"050/PPK.P-01/616/401.111/2021","Feasibility Study (FS) Pembangunan Rusunawa Eks. Bong Cino Kota Madiun","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Feasibility Study (FS) Pembangunan Rusunawa Eks. Bong Cino Kota Madiun","Aktif","12-10-2021","26-12-2021","","Dinas Kabupaten","28 February 2022 12:28","28 February 2022 12:28"
"050/1012/417.513.3/2021","Penyusunan Kajian Potensi Pembentukan KIHT di Kota Mojokerto","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Kajian Potensi Pembentukan KIHT di Kota Mojokerto","Aktif","10-09-2021","09-12-2021","","","28 February 2022 12:21","28 February 2022 12:21"
"050/1012/417.513.3/2021","Penyusunan Kajian Potensi Pembentukan KIHT di Kota Mojokerto","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Kajian Potensi Pembentukan KIHT di Kota Mojokerto","Aktif","10-09-2021","09-12-2021","","","28 February 2022 12:21","28 February 2022 12:21"
"HK.05.02/051/PEL.2021","Jasa Konsultan Safety Assesment, Emergency, Respones Plen and Safety Operation Procedure of SUpllu Point LPG Pelabuhan Tanjung Emas Semarang","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Jasa Konsultasi antara PT. Pelindo Energi Logistik dengan PT. ITS Tekno Sains Tentang Pekerjaan Jasa Konsultan Safety Assesment, Emergency, Respones Plen and Safety Operation Procedure of SUpllu Point LPG Pelabuhan Tanjung Emas Semarang","Aktif","10-03-2021","09-05-2021","","","28 February 2022 11:59","28 February 2022 12:15"
"22603/UN25/PR/2021","Surat Perintah Kerja Pekerjaan Uji NDT Rencana Gedung RSPTN Universitas Jember Tahun Anggaran 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Surat Perintah Kerja Pekerjaan Uji NDT Rencana Gedung RSPTN Universitas Jember Tahun Anggaran 2021","Aktif","22-11-2021","31-12-2021","","Lainnya","28 February 2022 12:03","28 February 2022 12:13"
"0156/04/ITS-TEKNO/TSC.2021","Jasa Konsultan Pengawasan Pekerjaan Witness Program Derdging Intake Kanal","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Surat Pesanan Jasa Konsultan Pengawasan Pekerjaan Witness Program Derdging Intake Kanal","Aktif","16-04-2021","11-07-2021","","Lainnya","28 February 2022 12:11","28 February 2022 12:12"
"409.SPK/BANGHC/PJBS.2020","Penyusunan Modul CBAP","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Surat Perintah Kerja Tentang Penyusunan Modul CBAP","Aktif","10-03-2021","16-04-2021","","Lainnya","28 February 2022 12:07","28 February 2022 12:11"
"0238.1.00/IT2.IV.3/KS.00.00/2021","Tenaga Ahli (Jasa Quality Control) Pengadaan Media Pendidikan Dan Pengadaan Peralatan  Teknologi Informasi Dan Komunikasi (Tik) Untuk Sekolah Dasar Di Kabupaten Blitar Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Tenaga Ahli (Jasa Quality Control) Pengadaan Media Pendidikan Dan Pengadaan Peralatan 
Teknologi Informasi Dan Komunikasi (Tik) Untuk Sekolah Dasar Di Kabupaten Blitar Tahun 2021","Aktif","27-10-2021","01-11-2021","","Dinas Kabupaten","28 February 2022 12:07","28 February 2022 12:07"
"027/223/437.71/2021","Penyusunan Masterplan Kampung Bandeng Kabupaten Gresik","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Masterplan Kampung Bandeng Kabupaten Gresik","Aktif","18-10-2021","31-12-2021","","Dinas Kabupaten","28 February 2022 12:00","28 February 2022 12:00"
"TP.02.09/A.LBJ.309/V/2021","PEKERJAAN SOIL INVESTIGATION DI AREA CONTAINER YARD LABUAN BAJO","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Pelaksanaan pekerjaan dengan PTWijaya Karya (Persero) Tbk.","Aktif","20-05-2021","20-07-2021","","Lainnya","28 February 2022 11:53","28 February 2022 11:58"
"WO21_ENV-07","PREPARATION OF ENVIRONMENTAL DOCUMENT UKL UPL PT GGI","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Work Order","Aktif","25-10-2021","24-11-2021","","Lainnya","28 February 2022 11:50","28 February 2022 11:56"
"052.SPKPJ/DAN.01.02/UPTMADN/AI/2021","Surat Perintah Kerja Pengadaan Jasa","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Surat Perintah Kerja Pengadaan Jasa perihal Jasa Engjiniring dan Studi Sistem di Unit Induk Transmisi Jawa Bagian Timur dan Bali (Jasa Enjiniring dan Studi Sistem Sutt 150KV Lamongan-Paciran T.92)","Aktif","09-08-2021","22-10-2021","","Lainnya","28 February 2022 11:46","28 February 2022 11:53"
"Pos.8997/KN 200/KN051/2021","PEMBUATAN DAN DEMONSTRASI PESAWAT TANPA AWAK UNTUK PENGIRIMAN MUATAN","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan PEMBUATAN DAN DEMONSTRASI PESAWAT TANPA AWAK UNTUK PENGIRIMAN MUATAN","Aktif","21-12-2021","21-02-2022","","Lainnya","28 February 2022 11:51","28 February 2022 11:51"
"0029.Pj?DAN.01.02/C4900000/2021","Perjanjian Kersama Sama tentang Pekerjaan Jasa Kajian Relokasi Mesin PLTMG 2 X 6,97 MW Bontang Ke Sembakung antara PT PLN (Persero) Unit Induk Pembangkitan dan Penyaluran Kalimantan dengan PT ITS Tekno Sains","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Kersama Sama tentang Pekerjaan Jasa Kajian Relokasi Mesin PLTMG 2 X 6,97 MW Bontang Ke Sembakung antara PT PLN (Persero) Unit Induk Pembangkitan dan Penyaluran Kalimantan dengan PT ITS Tekno Sains","Aktif","23-07-2021","21-10-2021","","Lainnya","28 February 2022 11:38","28 February 2022 11:47"
"027/19/437.71/2021","Penyusunan Inflasi Daerah kabupaten Gresik","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan  Penyusunan Inflasi Daerah kabupaten Gresik","Aktif","11-01-2021","31-12-2021","","Dinas Kabupaten","27 February 2022 13:18","28 February 2022 11:40"
"0025.1.00/IT2.IV.3/KS.00.00/2021","Belanja Jasa Konsultansi Berorientasi Bidang-Pendidikan pada pelaksanaan Program SMA Double Track Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Belanja Jasa Konsultansi Berorientasi Bidang-Pendidikan pada pelaksanaan Program SMA Double Track Tahun 2021","Aktif","08-03-2021","08-03-2022","","Dinas Propinsi","28 February 2022 03:14","28 February 2022 11:38"
"BA.J/075/PDAM/2021","Penyusunan SSH, HSPK, dan ASB Untuk RKAP Tahun 2022","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan SSH, HSPK, dan ASB Untuk RKAP Tahun 2022","Aktif","22-09-2021","08-12-2021","","Lainnya","28 February 2022 11:37","28 February 2022 11:37"
"2902/E3/PKS.08/KL/2021","Rancang Bangun Sepeda Motor Listrik dengan CVT (E-CVT) Untuk Meningkatkan Performa Berkendara","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Rancang Bangun Sepeda Motor Listrik dengan CVT (E-CVT) Untuk Meningkatkan Performa Berkendara","Aktif","04-08-2021","02-12-2021","374","Lembaga donor dalam negeri","28 February 2022 11:32","28 February 2022 11:32"
"284.SPK/061/PNS/21","Pendampingan Addeendum Amdal dan Perubahan Pengelolaan Faba","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pendampingan Addeendum Amdal dan Perubahan Pengelolaan Faba","Aktif","21-10-2021","19-12-2021","","Lainnya","28 February 2022 11:32","28 February 2022 11:32"
"BJ/916.1/VII/419.109/2021","Jasa Konsultansi Penyusunan Site Plan Dan Perencanaan Pembangunan Smp Negeri 9 Kota Kediri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Konsultansi Penyusunan Site Plan Dan Perencanaan Pembangunan Smp Negeri 9 Kota Kediria","Aktif","14-07-2021","10-12-2021","906600000","Direktorat P2TK Dikdas","27 February 2022 15:52","28 February 2022 11:25"
"0201.1.00/IT2.IV.3/KS.00.03/2021","Pendampingan Teknis Pengadaan Pekerjaan Terintegrasi Pengerukan Bendungan Tangga","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pendampingan Teknis Pengadaan Pekerjaan Terintegrasi Pengerukan Bendungan Tangga","Aktif","31-12-2021","28-02-2022","","Lainnya","28 February 2022 11:12","28 February 2022 11:12"
"2776/E3/PKS.07/KL/2021","Riset Inovasi Hilirisasi Desain Enjinering Prototyping Electric Scooter (Mini, Medium) Sebagai Implementasi MBKM Kerja Sama ITS Dengan PT WIMA","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Riset Inovasi Hilirisasi Desain Enjinering Prototyping Electric Scooter (Mini, Medium) Sebagai Implementasi MBKM Kerja Sama ITS Dengan PT WIMA","Aktif","27-07-2021","02-12-2021","2","Dikti","28 February 2022 11:06","28 February 2022 11:06"
"5300039428","Pemodelan, Preliminary Study Kelayakan Dermaga di Bintuni - Papua Barat","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pemodelan, Preliminary Study Kelayakan Dermaga di Bintuni - Papua Barat","Aktif","11-10-2021","18-10-2021","","Bantuan Swasta","28 February 2022 10:58","28 February 2022 10:58"
"0202.1.00/IT2.IV.3/KS.00.00/2021","Kajian Penyusunan Pedoman Survei Kepuasan Terhadap Kinerja Perangkat Daerah di Lingkungan Pemerintah Kabupaten Tuban","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Penyusunan Pedoman Survei Kepuasan Terhadap Kinerja Perangkat Daerah di Lingkungan Pemerintah Kabupaten Tuban","Aktif","01-10-2021","30-11-2021","","Dinas Kabupaten","28 February 2022 10:38","28 February 2022 10:38"
"0043.1.00/IT2.IV.3/KS.00.00/2021","Kajian Pembatasan Air Bawah Tanah Di Kota Mojokerto","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Pembatasan Air Bawah Tanah Di Kota Mojokerto","Aktif","16-03-2021","16-06-2021","63","Dinas Kabupaten","28 February 2022 04:24","28 February 2022 10:36"
"0024.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Kajian Sinkronisasi Perencanaan Sektoral dan Spasial Kabupaten Tuban","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Membantu dalam Penyusunan Kajian Sinkronisasi Perencanaan Sektoral dan Spasial Kabupaten Tuban","Aktif","01-02-2021",,"","","15 July 2021 12:22","28 February 2022 10:35"
"0024.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Kajian Sinkronisasi Perencanaan Sektoral dan Spasial Kabupaten Tuban","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Kajian Sinkronisasi Perencanaan Sektoral dan Spasial Kabupaten Tuban","Aktif","01-02-2021","21-04-2021","320","Dinas Kabupaten","28 February 2022 03:54","28 February 2022 10:32"
"0190.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Rencana Tata Bangunan Dan Lingkungan (RTBL) Kawasan Central Business District (CBD) Kota Kediri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Penyusunan Rencana Tata Bangunan Dan Lingkungan (RTBL) Kawasan Central Business District (CBD) Kota Kediri
Screen reader support enabled.","Aktif","02-08-2021","29-11-2021","","Dinas Kabupaten","28 February 2022 10:29","28 February 2022 10:29"
"0008.1.00 IT2.IV.3/KS.00.00/2021","Penyusunan Strategi Penyelenggaraan Kawasan Permukiman (SPKP) Kabupaten Kediri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan  Penyusunan Strategi Penyelenggaraan Kawasan Permukiman (SPKP) Kabupaten Kediri","Aktif","08-02-2021","08-07-2021","399","Dinas Kabupaten","27 February 2022 13:13","28 February 2022 10:27"
"0189.1.00/IT2.IV.3/KS.00.03/2021","Studi Pemasangan Pompa Intake Instalasi Pengelolahan Air Minum Ngagel","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Studi Pemasangan Pompa Intake Instalasi Pengelolahan Air Minum Ngagel","Aktif","01-10-2021","31-12-2021","","","28 February 2022 10:23","28 February 2022 10:23"
"070/46/414.201/2021","Kajian Studi Antisipasi Dampak Ekonomi, Sosial dan Lingkungan Reaktivasi Rel Kereta Api Jalur Tuban","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Studi Antisipasi Dampak Ekonomi, Sosial dan Lingkungan Reaktivasi Rel Kereta Api Jalur Tuban","Aktif","16-07-2021","16-07-2022","100000000","Dinas Kabupaten","28 February 2022 06:25","28 February 2022 10:21"
"20210134/3793/SK/SHE/X/DA","Kajian Efisiensi Energi dan Audit Energi","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Efisiensi Energi dan Audit Energi
Screen reader support enabled.","Aktif","21-10-2021","31-12-2021","","Bantuan Swasta","28 February 2022 10:17","28 February 2022 10:17"
"0192.1.00/IT2.IV.3/KS.00.00/2021","Master Plan Kawasan Strategis Sebelimbingan, Stagen, Tarjun dan Serongga","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Master Plan Kawasan Strategis Sebelimbingan, Stagen, Tarjun dan Serongga","Aktif","08-10-2021","08-12-2021","","Dinas Kabupaten","28 February 2022 10:01","28 February 2022 10:01"
"SE.02.01/A.DEN.00712/2021 T/43564/IT2.IV.1/KS.00.00/2021","Perjanjian Kerjasama Penelitian dan Pengembangan Teknologi Baterai antara PT. Wijaya Karya (Persero) Tbk. dengan ITS Surabaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Kerjasama Penelitian dan Pengembangan Teknologi Baterai antara PT. Wijaya Karya (Persero) Tbk. dengan ITS Surabaya","Aktif","29-07-2021","27-07-2022","","Bantuan Swasta","28 February 2022 09:47","28 February 2022 09:47"
"0191.1.00/IT2.IV.3/KS.00.00/2021","Kajian Penanggulangan Banjir Perkotaan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Penanggulangan Banjir Perkotaan","Aktif","08-10-2021","08-12-2021","","Dinas Kabupaten","28 February 2022 09:46","28 February 2022 09:46"
"AICPAIRSRR7","Monash University for the Australia-Indonesia Centre (AIC)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Monash University for the Australia-Indonesia Centre (AIC): Occupational Health And Safety (OHS) Risks among Indonesian Healthcare Workforce during COVID-19 Pandemic","Aktif","24-06-2020","26-11-2020","","Lainnya","28 February 2022 09:41","28 February 2022 09:41"
"0187.1.00/IT2.IV.3/KS.00.00/2021","Poltek Penerbangan (Poltekbang) Surabaya - Seleksi Mandiri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Seleksi Penerimaan Calon Taruna (SIPENCATAR) dilingkungan Kementrian Perhubungan Tahun 2021","Aktif","01-10-2021","01-10-2021","","","28 February 2022 09:41","28 February 2022 09:41"
"0153.1.00/IT2.IV.3/KS.00.00/2021","Akademi Penerbangan Indonesia (API) Banyuwangi - Seleksi Mandiri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Seleksi Penerimaan Calon Taruna (SIPENCATAR) dilingkungan Kementrian Perhubungan Tahun 2021","Aktif","27-08-2021","27-08-2021","","","28 February 2022 09:37","28 February 2022 09:37"
"2386/PKS/ITS/2020","Agreement Between University of Central Lancashier and Sepuluh Nopember Institute of Tehcnologi","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Agreement Between University of Central Lancashier and Sepuluh Nopember Institute of Tehcnologi about Tackling Icy Challenges for Safe Food and Drink Production in Indonesia : Intervention Phase","Aktif","10-11-2020","31-07-2021","","Lainnya","28 February 2022 09:35","28 February 2022 09:35"
"074/KTR/641.9/TRP/35.09.313/2021","Penyusunan Rencana Tata Ruang Wilayah Kabupaten Jember Tahun 2021 – 2041","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Rencana Tata Ruang Wilayah Kabupaten Jember Tahun 2021 – 2041","Aktif","31-05-2021","26-12-2022","","Dinas Kabupaten","28 February 2022 09:31","28 February 2022 09:31"
,"Contract on Science and Technology Innovation Centre (STIC)  for Circular Economy and Green Innovative Resources","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Contract on Science and Technology Innovation Centre (STIC) for Circular Economy and Green Innovative Resources","Aktif","03-09-2021","30-09-2024","","Lembaga donor luar negeri","28 February 2022 09:28","28 February 2022 09:28"
"SPK.02/SWA.2/PL.107/V/BLTL/2021 dan T/26711/IT2.IV.1/KS.00.00/2021","KONTRAK SWAKELOLA TIPE II ANTARA PUSAT PENELITIAN DAN PENGEMBANGAN TRANSPORTASI LAUT,  SUNGAI, DANAU, DAN PENYEBERANGAN BADAN PENELITIAN DAN PENGEMBANGAN KEMENTERIAN PERHUBUNGAN DENGAN LEMBAGA RISET DAN PENGABDIAN KEPADA MASYARAKAT INSTITUT TENOLOGI SEPULUH NOVEMBER SURABAYA","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","KONTRAK SWAKELOLA TIPE II ANTARA PUSAT PENELITIAN DAN PENGEMBANGAN TRANSPORTASI LAUT, SUNGAI, DANAU, DAN PENYEBERANGAN BADAN PENELITIAN DAN PENGEMBANGAN
KEMENTERIAN PERHUBUNGAN DENGAN LEMBAGA RISET DAN PENGABDIAN KEPADA MASYARAKAT INSTITUT TENOLOGI SEPULUH NOVEMBER SURABAYA TENTANG STUDI POTENSI DAN OPTIMALISASI VESSEL TRAFFIC SERVICE (VTS) DAN TRAFFIC SEPARATION SCHEME (TSS) TERINTEGRASI DI PERAIRAN INDONESIA","Aktif","10-05-2021","10-12-2021","","Lainnya","28 February 2022 09:01","28 February 2022 09:12"
"","ANTARA PUSAT PENELITIAN DAN PENGEMBANGAN TRANSPORTASI LAUT,  SUNGAI, DANAU, DAN PENYEBERANGAN BADAN PENELITIAN DAN PENGEMBANGAN KEMENTERIAN PERHUBUNGAN DENGAN LEMBAGA RISET DAN PENGABDIAN KEPADA MASYARAKAT INSTITUT TENOLOGI SEPULUH NOVEMBER SURABAYA TENTANG STUDI PENYIAPAN SDM KAPAL UNTUK MENYONGSONG TEKNOLOGI  INDUSTRI 4.0","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","KONTRAK SWAKELOLA TIPE II ANTARA PUSAT PENELITIAN DAN PENGEMBANGAN TRANSPORTASI LAUT, SUNGAI, DANAU, DAN PENYEBERANGAN BADAN PENELITIAN DAN PENGEMBANGAN
KEMENTERIAN PERHUBUNGAN DENGAN LEMBAGA RISET DAN PENGABDIAN KEPADA MASYARAKAT INSTITUT TENOLOGI SEPULUH NOVEMBER SURABAYA TENTANG STUDI PENYIAPAN SDM KAPAL UNTUK MENYONGSONG TEKNOLOGI INDUSTRI 4.0","Aktif","10-05-2021","10-12-2021","","Bantuan Swasta","28 February 2022 09:11","28 February 2022 09:11"
"0195.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Project Prospectus Pengembangan Wisata di Kota Mojokerto (Wisata Bahari Majapahit)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Project Prospectus Pengembangan Wisata di Kota Mojokerto (Wisata Bahari Majapahit)","Aktif","05-10-2021","03-12-2021","","Dinas Kabupaten","28 February 2022 09:09","28 February 2022 09:09"
"005/SPPP-ITS/DIR-TJP/IV/JKT-2021","Studi Kelayakan Reaktivasi Stasiun Kereta Api Gresik","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Studi Kelayakan Reaktivasi Stasiun Kereta Api Gresik","Aktif","18-06-2021","21-08-2021","210000000","Bantuan Swasta","28 February 2022 08:56","28 February 2022 08:56"
"0193.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Dokumen Feasibility Study Drainase di TPA Gunung Panggung Semanding","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Feasibility Study Drainase di TPA Gunung Panggung Semanding","Aktif","11-10-2021","29-11-2021","","","28 February 2022 08:56","28 February 2022 08:56"
"EXT-B-004/HSE/MEDC/L/V/2021","Kajian Benchmarking, Verifikasi Data Lingkungan, SDGs, GRK, Life Cycle Assesment (LCA), dan Pendampingan Proper","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Benchmarking, Verifikasi Data Lingkungan, SDGs, GRK, Life Cycle Assesment (LCA), dan Pendampingan Proper","Aktif","20-05-2021","31-10-2021","527071600","Lainnya","28 February 2022 08:54","28 February 2022 08:54"
"20Pid071-15R","Kurita Overseas Research Grant 2021 - Kurita Water and Environment Foundation (KWEF)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Utilization of PET plastic bottle waste as a membrane with several modifications for the removal of chromium ions in wastewater: A step towards sustainable development","Aktif","01-09-2020","30-09-2021","","Lembaga donor luar negeri","28 February 2022 08:52","28 February 2022 08:52"
"20Pid047-U14","Kurita Overseas Research Grant 2020 - Kurita Water and Environment Foundation (KWEF)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Kurita Overseas Research Grant 2020 - Kurita Water and Environment Foundation (KWEF)","Aktif","03-08-2020","30-09-2021","","Lembaga donor luar negeri","28 February 2022 08:48","28 February 2022 08:48"
"0172.1.00/IT2.IV.3/KS.00.00/2021","PENYUSUNAN RENCANA INDUK SISTEM PEMERINTAHAN BERBASIS ELEKTRONIK (SPBE) KABUPATEN LUWU UTARA TAHUN 2021-2026","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan PENYUSUNAN RENCANA INDUK SISTEM PEMERINTAHAN BERBASIS ELEKTRONIK (SPBE) KABUPATEN LUWU UTARA TAHUN 2021-2026","Aktif","10-05-2021","10-09-2021","199925000","Dinas Kabupaten","28 February 2022 08:47","28 February 2022 08:47"
"20Pid021-A12","Kurita Overseas Research Grant 2020 - Kurita Water and Environment Foundation (KWEF)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","BACTERIAL IMMOBILIZATION IN SUPER-ADSORPTION COMPOSITE MATERIAL AND ITS APPLICATION ON DECOLORIZATION AND BIODEGRADATION OF METHYLENE BLUE DYE ON BATIK INDUSTRIAL WASTEWATER","Aktif","03-08-2020","30-09-2021","","Lembaga donor luar negeri","28 February 2022 08:46","28 February 2022 08:46"
"0013.PJ/DAN.01.02/C46000000/2021","Jasa Finalisasi Laporan RKL-RPL/UKL-UPL Proyek Pembangkit, Transmisi dan Gardu Induk Sistem NTB dan Sistem NTT Periode Semester 1 Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Finalisasi Laporan RKL-RPL/UKL-UPL Proyek Pembangkit, Transmisi dan Gardu Induk Sistem NTB dan Sistem NTT Periode Semester 1 Tahun 2021","Aktif","12-07-2021","12-09-2021","172562500","Lainnya","28 February 2022 08:41","28 February 2022 08:41"
"2489/PKS/ITS/2021","Research Collaboration Agreement Between Universiti Teknologi Petronas and Institut Teknologi Sepuluh Nopember","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Research Collaboration Agreement Between Universiti Teknologi Petronas and Institut Teknologi Sepuluh Nopember tentang Numerical Modeling of PDC Cutter-Rock Interaction on Drilling Operation Using Finite Element and Smooth Particle Hydrodynamics Model","Aktif","11-03-2021","31-03-2021","","Lainnya","28 February 2022 08:39","28 February 2022 08:39"
"IDS/PCA2021190","Innovations at national level (Establishment of Innovation Hub)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Innovations at national level (Establishment of Innovation Hub)","Aktif","17-05-2021","30-06-2022","221704400","Lainnya","28 February 2022 08:38","28 February 2022 08:38"
"0185.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Dokumen Rencana Induk Lalu Lintas Dan Angkutan Jalan ( RILLAJ ) Kabupaten Gresik","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Rencana Induk Lalu Lintas Dan Angkutan Jalan ( RILLAJ ) Kabupaten Gresik","Aktif","13-07-2021","13-12-2021","497475000","Dinas Kabupaten","28 February 2022 08:26","28 February 2022 08:34"
"0217.PJ/061/SLA/2021","Detail Engineering Design (DED) Saluran Drainase dan Saluran Air Limbah PLTU Suralaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Detail Engineering Design (DED) Saluran Drainase dan Saluran Air Limbah PLTU Suralaya","Aktif","08-06-2021","05-10-2021","804658435","Lainnya","28 February 2022 08:33","28 February 2022 08:33"
"AICPAIRSIP2","Pair Project Agreement-Australia Indonesia Centre","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Pair Project Agreement-Australia Indonesia Centre between Monash University, Universitas Gadjah Mada, Institut Teknologi Sepuluh Nopember dan Universitas Hasanuddin","Aktif","01-07-2021","09-08-2022","","Insinas Ristekdikti","28 February 2022 08:30","28 February 2022 08:30"
"578/PPC92310/2021-SO","PENYUSUNAN KAJIAN PENILAIAN DAUR HIDUP (LIFE CYCLE ASSESSMENT) PT PERTAMINA EP ASSET 4 FIELD PAPUA","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan PENYUSUNAN KAJIAN PENILAIAN DAUR HIDUP (LIFE CYCLE ASSESSMENT)
PT PERTAMINA EP ASSET 4 FIELD PAPUA","Aktif","10-06-2021","10-07-2021","241147500","Lainnya","28 February 2022 08:23","28 February 2022 08:23"
"2409/PKS/ITS/2021","Perjanjian Antara Badan Pengelola Dana Perkebunan Kelapa Sawit dan ITS Surabaya tentang Dukungan Dana Kegiatan Penelitian dan Pengembangan Perkebunan Kelapa Sawit","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Antara Badan Pengelola Dana Perkebunan Kelapa Sawit dan ITS Surabaya tentang Dukungan Dana Kegiatan Penelitian dan Pengembangan Perkebunan Kelapa Sawit","Aktif","16-08-2021","13-08-2023","","Bantuan Swasta","28 February 2022 08:20","28 February 2022 08:20"
